user,amount,liquidity
1Bn82QGLeKBfweCCA9KN1hneRvJSWzzFet,2000,7.07107E+20
1CeC28UgF71279nDyB5AK5orEPQAFNqE9b,2000,7.07107E+20
1CJmKxW1BHzWvBsazqoRJykabW1p5dZm54,2000,7.07107E+20
1CSBgHMB7j3ZXcLDwxSgjMSG8fYTrKcn8a,2000,7.07107E+20
1CTpEDwkrAPDWWr8jnco3fS73pHXCb9Ata,2000,7.07107E+20
1Cu9uHAuqv23UeVE4Yb5hSXjjNwQKueHhu,2000,7.07107E+20
1d1oGEn7JjUMSbR9xaYzpbZWwNJrZDsoG,2000,7.07107E+20
1DcQ2W2errtVrXRijBTnbKPkPQsH2shPZ8,2000,7.07107E+20
1Ds1qkzJnVMh6PfxLXRGA6jBeXXGCLVG4N,2000,7.07107E+20
1Du6Fwta4DGPaMZQJFFtRvEXAQmaJ6Wtnw,2000,7.07107E+20
1Ee8DSuFcAfRDBFobVK3pYvqRnf1PK5fMS,2000,7.07107E+20
1EgAahtH1Te5wAAqUDUkAjdaypKM3A1aGR,2000,7.07107E+20
1EierUyW23d7xemEqjz4kBSFfaYfZuS341,2000,7.07107E+20
1EqQSNDSx18ze7xXRWGz9N8nZF7dHCqREm,2000,7.07107E+20
1Ezx4S8hGfNBDhMWq8ikAVUpbJeupx5Eaf,2000,7.07107E+20
1FJYF672i8UaiRrdW7TVRxLPHH5ywmaP2p,2000,7.07107E+20
1FndV4i8nxzMvCAQzLecg85QLhrJwzWGJ2,2000,7.07107E+20
1FnQn85knUkMie3bHY7ytykxW6t4ppShr8,2000,7.07107E+20
1FSgfXKeVAjeAxzsvPrB1TwjKZShNBk2Qu,2000,7.07107E+20
1FWbenzahAMiaK6uKAE2co53anzeHmKgM7,2000,7.07107E+20
1FxxULyeqzz81oXyvyXDTwuu65QDXKWyX2,2000,7.07107E+20
1Gg3k2gkUAaxJbP6vVwtDacwKLAzmWCpD5,2000,7.07107E+20
1GSMM7EjP7zhyBBsnyfJhLTqpWgtGqRHfy,2000,7.07107E+20
1H1rABvEt7ADpUMXybDxCDAVazQxKYw94i,2000,7.07107E+20
1H6HGhneXLQmQAx8szQ25xNfkBoWXGD2hL,2000,7.07107E+20
1H76byedwnWYruVv73iFxWZYj9GW8Ko6nN,2000,7.07107E+20
1H8Bvx91DLyPZvYgtXHByySYrPePRp7CN9,2000,7.07107E+20
1HaXjKYmB8BKZoHeKgWte891Vbx3akTtJg,2000,7.07107E+20
1HEHBgcWDQ8S3gNZC122haizK4pGnaWPA3,2000,7.07107E+20
1HeQDJ7VCCAzSNgJrv7Cuf375AKeDS2GDR,2000,7.07107E+20
1HqrdhP24yjM7PaESZ48FjhWVx7VwgSVQs,2000,7.07107E+20
1Hsxf1UbmNErv3AShZL6v4UXmXWXGj9sDP,2000,7.07107E+20
1HTAWUfX6CUeW2XkyYsPPzQvaYPXWhuALZ,2000,7.07107E+20
1HtBri9MsL4aLTa6AQkp9sg5ifCqUKsKgQ,2000,7.07107E+20
1HvFEVAcw7dqJcrLjq9qg1JwrsutJWV8ad,2000,7.07107E+20
1JC4BPASeFmPd4pcYhB1w3J42aP3fAHALN,2000,7.07107E+20
1JrD5RcFRuJXmNh9MsupiDhhcDLqquoN1d,2000,7.07107E+20
1jWFoGhbnbbFgqtw3rPoiGoe8VLNvUDRi,2000,7.07107E+20
1K2wneoSjoyp9uEhAugzYNDTTaNCVW85x,2000,7.07107E+20
1K6CVz6HSCxbHnTua8wUSj2rHiTRmYyMSD,2000,7.07107E+20
1Kdbn87QcAghapMnpnyhjsFHgEMHuPNoFk,2000,7.07107E+20
1KfShUYRD18br7R85eDJwbeJrQdaKu5PXN,2000,7.07107E+20
1LBpC5crPwHMrwLkD3YaJwnkiVxxZgrbeD,2000,7.07107E+20
1LcokpMwnE3tSWjKWucbeJERQFtFn68pg9,2000,7.07107E+20
1Lvf95PtnGD8n91arhqxJk53L7v3iLLGoJ,2000,7.07107E+20
1MmgbPtHHQMvp3pPKPJ1CdvR5wMNiXXWvR,2000,7.07107E+20
1MPKyrTnQRobDB5PoBDDPA6RoJesj3MmyD,2000,7.07107E+20
1Mv83ckb1vgtnKDUjQ7YTxCWCexEDqcQ7q,2000,7.07107E+20
1MXA7q9budoDHzjAmabz8zJxYkvfap4,2000,7.07107E+20
1N6VVJdyuFCFrh12kYnGxABL56kJnLJepz,2000,7.07107E+20
1NMwwiywjpnmjkRjEg7Q5hF9ap2sUdr1ed,2000,7.07107E+20
1NSAnYEvjp9zm8TuAV7acpQzyBxy46iLx7,2000,7.07107E+20
1NypsyqdpJJv1kDGL49j5TSZHHm6Z4bsJw,2000,7.07107E+20
1PQrLthZG2qLPWSMPMtrFneC2PMh1UYC8r,2000,7.07107E+20
1Q1UMT4a9kLwoHRPskWD5jssmPkymSjnSL,2000,7.07107E+20
1xisTb6B5Lvn3yaD4SWBvkMwZUaSgLo6u,2000,7.07107E+20
1zZ82BJgoYJTdDJPFX91Q4XJhL7hUMfcw,2000,7.07E+20
12YdWbEizvnPLwRV6TyfKSWKNsiRdFU7t3,5000,1.77E+21
12ZF7beY1vcBCPB6nmdJ9yk5Yeod5rSzxu,5000,1.77E+21
131pVfkHCYHXjp4p3JASv4mxVEWFQQkLMt,5000,1.77E+21
13de9BpCGDiNhio45bGqGbo7sRmkf4P84s,5000,1.77E+21
13ohXaWUoYgYP6qf7TikbadPD69t75M8Bx,5000,1.77E+21
13Qs3xfS3rDSJmndxVcQZDheEbRPySAeUC,5000,1.77E+21
13Ssnkk1afbxV8K84gsjnCBu3c41TYuy1v,5000,1.77E+21
14JsJMU6kRbHJ89fzKX4Vtf4FUREid46Sv,5000,1.77E+21
16AN4WwwdQQKugvPQt3pAcSx44Z53kqhwN,5000,1.77E+21
16FP9EwjJcKqYoG9JKsyDCjD4LjHoSVvHR,5000,1.77E+21
16NQY4QjQx7ksTmfJkyXfnmi55BqKLeaKs,5000,1.77E+21
178DAft7u3Fj7K4w6ASos8c4NBTWjESkfH,5000,1.77E+21
17tWceZAj6EZHKf9LDyR3z65CnYPn5CyV9,5000,1.77E+21
17VUunPmBhc6pYXdT6LeHftp2h71LXMZap,5000,1.77E+21
184tYL5NwLDjduRK66fAcQzNDD6ykWUiy3,5000,1.77E+21
18M6gP7VLxGJqnQV4oigvnpPuRRNZSxLfk,5000,1.77E+21
18T6tB9GYANtV4T11fnZtJXvVQY5pQy6K2,5000,1.77E+21
191mu7V2Rwwi5KFcyKpKiTgqeVnFLpEkSv,5000,1.77E+21
196MZgQcc27R8x8nykhhwntdgMQZBCg2CT,5000,1.77E+21
19pqRSDmGCojbMfp7gWQC1Do4GeyKfz42G,5000,1.77E+21
19s94qqpipvJ9A2dEBompYmrngraPw3Gca,5000,1.77E+21
1AHq8ibtPzQUnjzGeuGp8Zxrebkd1H7KnP,5000,1.77E+21
1AjEMaqDL2oWtfpJyLJ1VCY6TAHQTMRxnQ,5000,1.77E+21
1BDukEjpx65AVzXKm7RMjNht2wN4wELTcB,5000,1.77E+21
1BfbGsXnWrdh4ip9eHn4jVNmC7Za3ncWDM,5000,1.77E+21
1C1iGDZQGRPnRcngsXrm1VubEgUp8eXwLR,5000,1.77E+21
1CeXSnh6hUTMNputYSj87z89k9FVbncNAk,5000,1.77E+21
1Cphnxn5fDB4wsUpLfFZzHzpcnXk64ypwS,5000,1.77E+21
1D1RBV97HYExYNJXvHiKos2curfeXiRZjJ,5000,1.77E+21
1EiV7KBncSXrCQYd1Yg54MiRmkysJzemKu,5000,1.77E+21
1F6TDdv5xYhQPYpFpoGzQaCcfN74zngmqV,5000,1.77E+21
1Frp3PGBu1XxYcL4UMh5jyWP2W7uUiXE4n,5000,1.77E+21
1GXe6GSk8sDv1YdRZGajVz6GkeyLMNC2S2,5000,1.77E+21
1HE51rnaJ1Y8uUxBWXwDtaRKjHg4LGJVnP,5000,1.77E+21
1Jga4CU7Hczd81DE47zbJXSnUexxGpLw9o,5000,1.77E+21
1JujZ6vbwaZ5hUPc4SKiZzzJBtty5y2dhM,5000,1.77E+21
1JXtbEzCHA8g8J1KrFc9G2HMkSH4ZUc6ko,5000,1.77E+21
1LgJbZfZ3fKpJy7hfARLYP8sLNK6a3odHU,5000,1.77E+21
1LGUC13duTS8iueGNNzDYXyrXuPRTgasDw,5000,1.77E+21
1LUZ9dUGkjLFLt9NQwMBRszf5nRiVPpxdq,5000,1.77E+21
1LVeqL7CsV3kJbCBx7Np32g847VaDVTLrV,5000,1.77E+21
1MSN7JzSJyUxn5sUejBg1w9ZEcNFFE3dMJ,5000,1.77E+21
1N8bFEwmUWhjhd71Ryc2kvEV11mizgGdjN,5000,1.77E+21
1Nd4ACAQH5iBzwxxcPTighpkJBo4KijtAM,5000,1.77E+21
1NYNJkrXX9YQs8r6k3i1Ci2njofg6tebK7,5000,1.77E+21
1PKyGhNvK6r4UJ4ahZg2iNnTXDKwkLH6Bu,5000,1.77E+21
1PPUN2RhAUgNoUtJU2NAgYbTzec9599kGE,5000,1.77E+21
1PrCioQrKyTnZtzkoiZEJ4AnXJv8ta838m,5000,1.77E+21
1QFEqG1ZU2qvFnnMCYJgHwtzyBnVgKPWkR,5000,1.77E+21
1QK7sfQsFFiFNuWejd1QJEdBTSZsHnUxjV,5000,1.77E+21
1zP7P5nttnRgrxvwrJZHasJVL9J74Rshi,5000,1.77E+21
